service_id,date,exception_type
68130,20180903,2
68130,20181008,2
68130,20181112,2
68130,20191128,2
68130,20191225,2
68130,20200525,2
68130,20200703,2
68130,20201111,2
68130,20201126,2
68132,20191225,2
68132,20200101,2
68132,20200907,2
68134,20181106,2
68134,20181112,2
68134,20181122,2
68134,20181123,2
68134,20181225,2
68133,20180528,2
68133,20180704,2
