node_id,x_coord,y_coord,Centroid,zone_id,geometry
2107,-77.215078,38.718213,,2107.0,POINT (-77.215078 38.718213)
2108,-77.199449,38.717938000000004,,2108.0,POINT (-77.199449 38.717938)
2109,-77.198815,38.706756,,2109.0,POINT (-77.198815 38.706756)
2110,-77.191461,38.715393,,2110.0,POINT (-77.191461 38.715393)
2111,-77.17806800000001,38.714706,,2111.0,POINT (-77.178068 38.714706)
2112,-77.15793199999999,38.722015999999996,,2112.0,POINT (-77.157932 38.722016)
2113,-77.174992,38.726844,,2113.0,POINT (-77.174992 38.726844)
2114,-77.175588,38.735138,,2114.0,POINT (-77.175588 38.735138)
2115,-77.179346,38.745083,,2115.0,POINT (-77.179346 38.745083)
2116,-77.194567,38.730899,,2116.0,POINT (-77.194567 38.730899)
2117,-77.189676,38.726956,,2117.0,POINT (-77.189676 38.726956)
2118,-77.20569300000001,38.730789,,2118.0,POINT (-77.205693 38.730789)
2119,-77.2043,38.741547,,2119.0,POINT (-77.2043 38.741547)
2120,-77.196877,38.735960999999996,,2120.0,POINT (-77.196877 38.735961)
2121,-77.189904,38.746739,,2121.0,POINT (-77.189904 38.746739)
2122,-77.18442900000001,38.747426000000004,,2122.0,POINT (-77.184429 38.747426)
2123,-77.193692,38.753432000000004,,2123.0,POINT (-77.193692 38.753432)
2124,-77.206974,38.750702000000004,,2124.0,POINT (-77.206974 38.750702)
2125,-77.217865,38.769165,,2125.0,POINT (-77.217865 38.769165)
2126,-77.23277900000001,38.747776,,2126.0,POINT (-77.232779 38.747776)
2127,-77.239834,38.738382,,2127.0,POINT (-77.239834 38.738382)
2128,-77.21690600000001,38.739855,,2128.0,POINT (-77.216906 38.739855)
2129,-77.225444,38.719945,,2129.0,POINT (-77.225444 38.719945)
2130,-77.23654300000001,38.729168,,2130.0,POINT (-77.236543 38.729168)
2131,-77.263861,38.720861,,2131.0,POINT (-77.263861 38.720861)
2132,-77.267065,38.740632,,2132.0,POINT (-77.267065 38.740632)
2133,-77.27580400000001,38.767565000000005,,2133.0,POINT (-77.275804 38.767565)
2134,-77.26496,38.761897999999995,,2134.0,POINT (-77.26496 38.761898)
2135,-77.25222,38.75527,,2135.0,POINT (-77.25222 38.75527)
2136,-77.244961,38.766515999999996,,2136.0,POINT (-77.244961 38.766516)
2137,-77.231709,38.768256,,2137.0,POINT (-77.231709 38.768256)
2138,-77.24746800000001,38.781648,,2138.0,POINT (-77.247468 38.781648)
2139,-77.259003,38.790402,,2139.0,POINT (-77.259003 38.790402)
2140,-77.268431,38.782275,,2140.0,POINT (-77.268431 38.782275)
2141,-77.28530400000001,38.776776,,2141.0,POINT (-77.285304 38.776776)
2142,-77.28782199999999,38.792311,,2142.0,POINT (-77.287822 38.792311)
2143,-77.25794499999999,38.799633,,2143.0,POINT (-77.257945 38.799633)
2144,-77.272678,38.804846000000005,,2144.0,POINT (-77.272678 38.804846)
2145,-77.292563,38.819162,,2145.0,POINT (-77.292563 38.819162)
2146,-77.29235,38.808278,,2146.0,POINT (-77.29235 38.808278)
2147,-77.312485,38.805499,,2147.0,POINT (-77.312485 38.805499)
2148,-77.293144,38.782921,,2148.0,POINT (-77.293144 38.782921)
2149,-77.314883,38.778076,,2149.0,POINT (-77.314883 38.778076)
2150,-77.313417,38.79235,,2150.0,POINT (-77.313417 38.79235)
2151,-77.330548,38.795309,,2151.0,POINT (-77.330548 38.795309)
2152,-77.347369,38.769971000000005,,2152.0,POINT (-77.347369 38.769971)
2153,-77.32874100000001,38.768567,,2153.0,POINT (-77.328741 38.768567)
2154,-77.324798,38.754459000000004,,2154.0,POINT (-77.324798 38.754459)
2155,-77.294023,38.760436,,2155.0,POINT (-77.294023 38.760436)
2156,-77.302689,38.734715,,2156.0,POINT (-77.302689 38.734715)
2157,-77.329987,38.723048,,2157.0,POINT (-77.329987 38.723048)
2158,-77.358236,38.748463,,2158.0,POINT (-77.358236 38.748463)
2159,-77.372355,38.728838,,2159.0,POINT (-77.372355 38.728838)
2160,-77.904916,39.026126,,2160.0,POINT (-77.904916 39.026126)
2161,-77.853239,39.081371999999995,,2161.0,POINT (-77.853239 39.081372)
2162,-77.820082,39.071911,,2162.0,POINT (-77.820082 39.071911)
2163,-77.80743000000001,39.033766,,2163.0,POINT (-77.80743 39.033766)
2164,-77.862113,39.025216,,2164.0,POINT (-77.862113 39.025216)
2165,-77.821766,39.015163,,2165.0,POINT (-77.821766 39.015163)
2166,-77.828986,38.994436,,2166.0,POINT (-77.828986 38.994436)
2167,-77.774582,38.994474,,2167.0,POINT (-77.774582 38.994474)
2168,-77.748714,39.037778,,2168.0,POINT (-77.748714 39.037778)
2169,-77.77798,39.055586,,2169.0,POINT (-77.77798 39.055586)
2170,-77.72813199999999,39.062549,,2170.0,POINT (-77.728132 39.062549)
2171,-77.700659,39.059498,,2171.0,POINT (-77.700659 39.059498)
2172,-77.664642,39.078734000000004,,2172.0,POINT (-77.664642 39.078734)
2173,-77.692661,39.0899,,2173.0,POINT (-77.692661 39.0899)
2174,-77.720078,39.110627,,2174.0,POINT (-77.720078 39.110627)
2175,-77.697244,39.121377,,2175.0,POINT (-77.697244 39.121377)
2176,-77.715972,39.120062,,2176.0,POINT (-77.715972 39.120062)
2177,-77.709463,39.131166,,2177.0,POINT (-77.709463 39.131166)
2178,-77.727627,39.13058,,2178.0,POINT (-77.727627 39.13058)
